order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Hymenoptera,Apidae,Bombus,Bombus griseocollis,offset,-5.3660535298105385,20.75509674908125,-0.25854148475834365,0.7968951558011403,0.04168034187786873,0.10877596742375577,-0.004135619727310927,64,0.25006900192861403,0.42273457284839666,2.1964886244655872
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,duration,97.15050787975144,45.0877197064495,2.154699960704704,0.03550125312437679,0.06488245314408703,0.1124756857023526,-0.007123949118724535,60,0.9324716158379922,0.22858807907800027,0
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,onset,-24.867521450879607,45.30678222299981,-0.5488697327583708,0.585276747904917,-0.002577899312629084,0.048404489549085133,0.005118068816898691,60,0.26292145349710333,0.26469621274859295,2.061678261663019
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,offset,72.2891037387398,27.609498203822522,2.618269379801021,0.011346841745942741,0.08179261951375572,0.128506475603458,0.05972914673987206,60,0.9616298258395343,0.6319829028955465,0
Lepidoptera,Hesperiidae,Lon,Lon zabulon,duration,5.776307517074561,27.09744191557086,0.2131680006943885,0.8320297601170297,0.3919858421553635,0.45507646015890013,0.0031051870532291526,59,0.20761765566958987,7.272620606901814e-5,2.6786916781275067
Lepidoptera,Hesperiidae,Lon,Lon zabulon,onset,-7.144057913463293,29.10219175016878,-0.2454817827740366,0.8069971482715619,0.3520575227887056,0.38558818055930627,6.75743108787541e-4,59,0.2380092581137783,1.9474483125558884e-06,2.327249666609191
Lepidoptera,Hesperiidae,Lon,Lon zabulon,offset,-6.5828867393809585,13.019876850407684,-0.505602842101754,0.6151559669656644,-0.012608669656717586,0.03981751444052976,0.0028714937272229027,59,0.2687894384178349,0.40093785432766355,2.0015462958716057
Lepidoptera,Papilionidae,Papilio,Papilio troilus,duration,-40.39513978345981,20.163687722983873,-2.003360711513838,0.05044649847024866,0.15903378119599199,0.23133671753540758,0.03179335944123002,57,0.6501759688541991,0.1435420612963622,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,onset,45.37942167568155,17.41432545904768,2.605867323566328,0.01203985198444296,0.2636458550019831,0.34206110291604197,0.041683935332614,57,0.8725904096939582,0.09783528657670232,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,offset,8.015380025786238,8.90349719125561,0.9002507501949213,0.37205935557648684,0.007378956349431198,0.06056915642538961,0.014327338529818885,57,0.31661212292605484,0.4106256692553608,1.5387703253752534
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,duration,-3.3121032682187463,28.62347355224323,-0.11571283485819896,0.9083345667522233,0.05731725226117912,0.10971065499977055,2.257022270256981e-4,55,0.23064293714368253,0.05720947619021871,2.409368789496739
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,onset,-30.40454710688668,19.223943495182603,-1.5815978191210283,0.12068993902874865,0.5461914944514479,0.6187958405606433,-0.002119445048589852,55,0.4732476330669269,3.163844469933341e-5,0.2142235150127476
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,offset,-47.61242682094077,20.013466978627402,-2.3790194308555632,0.02113963840364853,0.13794982238438713,0.18585440333105255,0.09027549451736847,55,0.8434755693204032,0.06228274120019506,0
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,duration,32.83385795213844,22.447160693975935,1.4627176416547838,0.1499463255321037,0.26809543811629044,0.32510235567126117,-0.043180486157457454,54,0.7160956441578762,0.0020275027391326583,0
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,onset,-11.178248456831327,19.027748913857103,-0.5874708830475833,0.5595314246352261,0.18319272817834276,0.22945963931690216,0.0053366205743814454,54,0.2626761730340025,0.0015344374362496471,2.064210377398126
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,offset,19.392936538810492,16.393303597848174,1.1829791611591978,0.24270156501835335,0.18632707138758353,0.27036916837978076,0.008245251681795296,54,0.33224961140874015,0.10621580977333317,1.3960558118267272
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,duration,14.743007942980283,37.28427434519865,0.39542161412292154,0.694248088770282,-0.04364256927571564,0.016571562386352413,0.003134286746251132,53,0.2429167903528771,0.7311542553537813,2.2735084190048838
